"id","title","created_at","pattern"
208,"video","0000-00-00 00:00:00","waves"
209,"gwt","0000-00-00 00:00:00","madras"
210,"backbone.js","0000-00-00 00:00:00","madras"
211,"razor","0000-00-00 00:00:00","vertical-stripes"
212,"activerecord","0000-00-00 00:00:00","upholstery"
213,"windows-phone-8","0000-00-00 00:00:00","tablecloth"
214,"amazon-web-services","0000-00-00 00:00:00","waves"
215,"logging","0000-00-00 00:00:00","tablecloth"
216,"dictionary","0000-00-00 00:00:00","half-rombes"
217,"mobile","0000-00-00 00:00:00","zigzag"
218,"canvas","0000-00-00 00:00:00","steps"
219,"cookies","0000-00-00 00:00:00","argyle"
220,"optimization","0000-00-00 00:00:00","madras"
221,"assembly","0000-00-00 00:00:00","blueprint"
222,"model-view-controller","0000-00-00 00:00:00","bricks"
223,"sql-server-2005","0000-00-00 00:00:00","steps"
224,"asynchronous","0000-00-00 00:00:00","brady-bunch"
225,"layout","0000-00-00 00:00:00","shippo"
226,"encryption","0000-00-00 00:00:00","zigzag"
227,"serialization","0000-00-00 00:00:00","steps"
228,"memory-management","0000-00-00 00:00:00","zigzag"
229,"vim","0000-00-00 00:00:00","tablecloth"
230,"heroku","0000-00-00 00:00:00","microbial-mat"
231,"recursion","0000-00-00 00:00:00","polka-dots"
232,"nhibernate","0000-00-00 00:00:00","bricks"
233,"twitter","0000-00-00 00:00:00","tartan"
234,"xpath","0000-00-00 00:00:00","madras"
235,"soap","0000-00-00 00:00:00","zigzag"
236,"browser","0000-00-00 00:00:00","brady-bunch"
237,"file-upload","0000-00-00 00:00:00","tartan"
238,"express","0000-00-00 00:00:00","shippo"
239,"design","0000-00-00 00:00:00","upholstery"
240,"boost","0000-00-00 00:00:00","steps"
241,"jdbc","0000-00-00 00:00:00","seigaiha"
242,"netbeans","0000-00-00 00:00:00","argyle"
243,"ember.js","0000-00-00 00:00:00","upholstery"
244,"text","0000-00-00 00:00:00","argyle"
245,"google-maps-api-3","0000-00-00 00:00:00","argyle"
246,"drupal","0000-00-00 00:00:00","diagonal-stripes"
247,"file-io","0000-00-00 00:00:00","weave"
248,"dynamic","0000-00-00 00:00:00","stars"
249,"web","0000-00-00 00:00:00","microbial-mat"
250,"matrix","0000-00-00 00:00:00","shippo"
251,"database-design","0000-00-00 00:00:00","cicada-stripes"
252,"dll","0000-00-00 00:00:00","seigaiha"
253,"visual-studio-2008","0000-00-00 00:00:00","microbial-mat"
254,"mvvm","0000-00-00 00:00:00","vertical-stripes"
255,"ios7","0000-00-00 00:00:00","tablecloth"
256,"checkbox","0000-00-00 00:00:00","steps"
257,"web-applications","0000-00-00 00:00:00","argyle"
258,"plugins","0000-00-00 00:00:00","waves"
259,"random","0000-00-00 00:00:00","brady-bunch"
260,"d3.js","0000-00-00 00:00:00","microbial-mat"
261,"svg","0000-00-00 00:00:00","upholstery"
262,"visual-studio-2013","0000-00-00 00:00:00","tablecloth"
263,"methods","0000-00-00 00:00:00","blueprint"
264,"multidimensional-array","0000-00-00 00:00:00","weave"
265,"vector","0000-00-00 00:00:00","argyle"
266,"input","0000-00-00 00:00:00","half-rombes"
267,"arraylist","0000-00-00 00:00:00","bricks"
268,"android-listview","0000-00-00 00:00:00","polka-dots"
269,"nginx","0000-00-00 00:00:00","polka-dots"
270,"reflection","0000-00-00 00:00:00","argyle"
271,"jsf-2","0000-00-00 00:00:00","japanese-cube"
272,"github","0000-00-00 00:00:00","polka-dots"
273,"pandas","0000-00-00 00:00:00","microbial-mat"
274,"knockout.js","0000-00-00 00:00:00","argyle"
275,"indexing","0000-00-00 00:00:00","microbial-mat"
276,"data-structures","0000-00-00 00:00:00","arrows"
277,"meteor","0000-00-00 00:00:00","steps"
278,"data-binding","0000-00-00 00:00:00","waves"
279,"drop-down-menu","0000-00-00 00:00:00","stars"
280,"asp.net-web-api","0000-00-00 00:00:00","upholstery"
281,"yii","0000-00-00 00:00:00","tablecloth"
282,"unicode","0000-00-00 00:00:00","upholstery"
283,"service","0000-00-00 00:00:00","brady-bunch"
284,"reporting-services","0000-00-00 00:00:00","japanese-cube"
285,"primefaces","0000-00-00 00:00:00","upholstery"
286,"pdo","0000-00-00 00:00:00","vertical-stripes"
287,"mysqli","0000-00-00 00:00:00","blueprint"
288,"android-studio","0000-00-00 00:00:00","waves"
289,"emacs","0000-00-00 00:00:00","bricks"
290,"time","0000-00-00 00:00:00","horizontal-stripes"
291,"hash","0000-00-00 00:00:00","half-rombes"
292,"deployment","0000-00-00 00:00:00","arrows"
293,"view","0000-00-00 00:00:00","madras"
294,"data","0000-00-00 00:00:00","tartan"
295,"laravel-4","0000-00-00 00:00:00","arrows"
296,"encoding","0000-00-00 00:00:00","upholstery"
297,"matplotlib","0000-00-00 00:00:00","cross"
298,"linq-to-sql","0000-00-00 00:00:00","arrows"
299,"login","0000-00-00 00:00:00","vertical-stripes"
300,"uiview","0000-00-00 00:00:00","microbial-mat"
301,"collections","0000-00-00 00:00:00","microbial-mat"
302,"graphics","0000-00-00 00:00:00","microbial-mat"
303,"scroll","0000-00-00 00:00:00","tablecloth"
304,"intellij-idea","0000-00-00 00:00:00","stars"
305,"joomla","0000-00-00 00:00:00","cross"
306,"replace","0000-00-00 00:00:00","waves"
307,"command-line","0000-00-00 00:00:00","horizontal-stripes"
308,"groovy","0000-00-00 00:00:00","madras"
309,"printing","0000-00-00 00:00:00","brady-bunch"
310,"ios5","0000-00-00 00:00:00","horizontal-stripes"
311,"awk","0000-00-00 00:00:00","brady-bunch"
312,"paypal","0000-00-00 00:00:00","bricks"
313,"ant","0000-00-00 00:00:00","argyle"
314,"graph","0000-00-00 00:00:00","cicada-stripes"
315,"parse.com","0000-00-00 00:00:00","shippo"
316,"utf-8","0000-00-00 00:00:00","cross"
317,"jquery-plugins","0000-00-00 00:00:00","diagonal-stripes"
318,"struct","0000-00-00 00:00:00","cross"
319,"ssh","0000-00-00 00:00:00","shippo"
320,"django-models","0000-00-00 00:00:00","japanese-cube"
321,"solr","0000-00-00 00:00:00","zigzag"
322,"javascript-events","0000-00-00 00:00:00","brady-bunch"
323,"datagridview","0000-00-00 00:00:00","weave"
324,"jenkins","0000-00-00 00:00:00","brady-bunch"
325,"tcp","0000-00-00 00:00:00","arrows"
326,"syntax","0000-00-00 00:00:00","steps"
327,"unity3d","0000-00-00 00:00:00","steps"
328,"sed","0000-00-00 00:00:00","madras"
329,"memory-leaks","0000-00-00 00:00:00","seigaiha"
330,"plot","0000-00-00 00:00:00","cicada-stripes"
331,"types","0000-00-00 00:00:00","madras"
332,"hyperlink","0000-00-00 00:00:00","half-rombes"
333,"rspec","0000-00-00 00:00:00","bricks"
334,"google-chrome-extension","0000-00-00 00:00:00","tartan"
335,"vbscript","0000-00-00 00:00:00","seigaiha"
336,"selenium-webdriver","0000-00-00 00:00:00","diagonal-stripes"
337,"binding","0000-00-00 00:00:00","steps"
338,"elasticsearch","0000-00-00 00:00:00","half-rombes"
339,"ios4","0000-00-00 00:00:00","cicada-stripes"
340,"junit","0000-00-00 00:00:00","polka-dots"
341,"version-control","0000-00-00 00:00:00","brady-bunch"
342,"uiviewcontroller","0000-00-00 00:00:00","bricks"
343,"orm","0000-00-00 00:00:00","shippo"
344,"fonts","0000-00-00 00:00:00","bricks"
345,"webview","0000-00-00 00:00:00","diagonal-stripes"
346,"foreach","0000-00-00 00:00:00","cross"
347,"oauth","0000-00-00 00:00:00","cicada-stripes"
348,"plsql","0000-00-00 00:00:00","microbial-mat"
349,"jar","0000-00-00 00:00:00","stars"
350,"tfs","0000-00-00 00:00:00","japanese-cube"
351,"go","0000-00-00 00:00:00","bricks"
352,"charts","0000-00-00 00:00:00","stars"
353,"opengl-es","0000-00-00 00:00:00","bricks"
354,"concurrency","0000-00-00 00:00:00","diagonal-stripes"
355,"timer","0000-00-00 00:00:00","upholstery"
356,"import","0000-00-00 00:00:00","diagonal-stripes"
357,"highcharts","0000-00-00 00:00:00","blueprint"
358,"process","0000-00-00 00:00:00","shippo"
359,"angularjs-directive","0000-00-00 00:00:00","waves"
360,"properties","0000-00-00 00:00:00","microbial-mat"
361,"parameters","0000-00-00 00:00:00","seigaiha"
362,"colors","0000-00-00 00:00:00","japanese-cube"
363,"gradle","0000-00-00 00:00:00","shippo"
364,"amazon-ec2","0000-00-00 00:00:00","madras"
365,"amazon-s3","0000-00-00 00:00:00","microbial-mat"
366,"windows-8","0000-00-00 00:00:00","cross"
367,"cocos2d-iphone","0000-00-00 00:00:00","half-rombes"
368,"filter","0000-00-00 00:00:00","madras"
369,"https","0000-00-00 00:00:00","zigzag"
370,"menu","0000-00-00 00:00:00","brady-bunch"
371,"error-handling","0000-00-00 00:00:00","blueprint"
372,"constructor","0000-00-00 00:00:00","steps"
373,"datagrid","0000-00-00 00:00:00","brady-bunch"
374,"google-apps-script","0000-00-00 00:00:00","argyle"
375,"combobox","0000-00-00 00:00:00","microbial-mat"
376,"interface","0000-00-00 00:00:00","weave"
377,"twitter-bootstrap-3","0000-00-00 00:00:00","brady-bunch"
378,"javafx","0000-00-00 00:00:00","upholstery"
379,"bitmap","0000-00-00 00:00:00","waves"
380,"playframework","0000-00-00 00:00:00","tartan"
381,"configuration","0000-00-00 00:00:00","stars"
382,"jboss","0000-00-00 00:00:00","japanese-cube"
383,"spring-security","0000-00-00 00:00:00","polka-dots"
384,"dependency-injection","0000-00-00 00:00:00","cicada-stripes"
385,"lambda","0000-00-00 00:00:00","madras"
386,"doctrine2","0000-00-00 00:00:00","cross"
387,"casting","0000-00-00 00:00:00","horizontal-stripes"
388,"architecture","0000-00-00 00:00:00","argyle"
389,"exception-handling","0000-00-00 00:00:00","madras"
390,"download","0000-00-00 00:00:00","argyle"
391,"build","0000-00-00 00:00:00","stars"
392,"map","0000-00-00 00:00:00","cross"
393,"clojure","0000-00-00 00:00:00","microbial-mat"
394,"ios8","0000-00-00 00:00:00","madras"
395,"datatable","0000-00-00 00:00:00","vertical-stripes"
396,"windows-7","0000-00-00 00:00:00","seigaiha"
397,"devise","0000-00-00 00:00:00","argyle"
398,"model","0000-00-00 00:00:00","tablecloth"
399,"coldfusion","0000-00-00 00:00:00","blueprint"
400,"oracle11g","0000-00-00 00:00:00","waves"
401,"enums","0000-00-00 00:00:00","half-rombes"
402,"autocomplete","0000-00-00 00:00:00","diagonal-stripes"
403,"android-asynctask","0000-00-00 00:00:00","bricks"
404,"kendo-ui","0000-00-00 00:00:00","cicada-stripes"
405,"url-rewriting","0000-00-00 00:00:00","tablecloth"
406,"struts2","0000-00-00 00:00:00","upholstery"
407,"io","0000-00-00 00:00:00","half-rombes"
408,"triggers","0000-00-00 00:00:00","stars"
409,"module","0000-00-00 00:00:00","stars"
410,"google-analytics","0000-00-00 00:00:00","blueprint"
411,"stl","0000-00-00 00:00:00","cicada-stripes"
412,"background","0000-00-00 00:00:00","zigzag"
413,"reference","0000-00-00 00:00:00","cicada-stripes"
414,"compiler-construction","0000-00-00 00:00:00","horizontal-stripes"
415,"cmd","0000-00-00 00:00:00","waves"
416,"ssis","0000-00-00 00:00:00","horizontal-stripes"
417,"responsive-design","0000-00-00 00:00:00","tablecloth"
418,"sqlite3","0000-00-00 00:00:00","arrows"
419,"asp-classic","0000-00-00 00:00:00","arrows"
420,"static","0000-00-00 00:00:00","blueprint"
421,"scripting","0000-00-00 00:00:00","microbial-mat"
422,"while-loop","0000-00-00 00:00:00","bricks"
423,"proxy","0000-00-00 00:00:00","argyle"
424,"xsd","0000-00-00 00:00:00","blueprint"
425,"webforms","0000-00-00 00:00:00","tartan"
426,"youtube","0000-00-00 00:00:00","argyle"
427,"character-encoding","0000-00-00 00:00:00","seigaiha"
428,"jqgrid","0000-00-00 00:00:00","waves"
429,"ios6","0000-00-00 00:00:00","brady-bunch"
430,"3d","0000-00-00 00:00:00","zigzag"
431,"ggplot2","0000-00-00 00:00:00","stars"
432,"upload","0000-00-00 00:00:00","upholstery"
433,"sdk","0000-00-00 00:00:00","half-rombes"
434,"path","0000-00-00 00:00:00","microbial-mat"
435,"merge","0000-00-00 00:00:00","bricks"
436,"tabs","0000-00-00 00:00:00","tartan"
437,"blackberry","0000-00-00 00:00:00","shippo"
438,"nullpointerexception","0000-00-00 00:00:00","bricks"
439,"iis-7","0000-00-00 00:00:00","waves"
440,"count","0000-00-00 00:00:00","blueprint"
441,"compilation","0000-00-00 00:00:00","stars"
442,"insert","0000-00-00 00:00:00","brady-bunch"
443,"safari","0000-00-00 00:00:00","vertical-stripes"
444,"uiscrollview","0000-00-00 00:00:00","brady-bunch"
445,"cuda","0000-00-00 00:00:00","upholstery"
446,"uiwebview","0000-00-00 00:00:00","japanese-cube"
447,"com","0000-00-00 00:00:00","diagonal-stripes"
448,"lua","0000-00-00 00:00:00","madras"
449,"transactions","0000-00-00 00:00:00","horizontal-stripes"
450,"ftp","0000-00-00 00:00:00","bricks"
451,"split","0000-00-00 00:00:00","steps"
452,"asp.net-mvc-2","0000-00-00 00:00:00","zigzag"
453,"flask","0000-00-00 00:00:00","arrows"
454,"tkinter","0000-00-00 00:00:00","vertical-stripes"
455,"bluetooth","0000-00-00 00:00:00","tablecloth"
456,"actionscript","0000-00-00 00:00:00","seigaiha"
457,"mfc","0000-00-00 00:00:00","bricks"
458,"terminal","0000-00-00 00:00:00","blueprint"
459,"internet-explorer-8","0000-00-00 00:00:00","arrows"
460,"permissions","0000-00-00 00:00:00","madras"
461,"sql-server-2008-r2","0000-00-00 00:00:00","stars"
462,"xml-parsing","0000-00-00 00:00:00","zigzag"
463,"callback","0000-00-00 00:00:00","horizontal-stripes"
464,"compiler-errors","0000-00-00 00:00:00","horizontal-stripes"
465,"textbox","0000-00-00 00:00:00","half-rombes"
466,"controller","0000-00-00 00:00:00","tartan"
467,"eclipse-plugin","0000-00-00 00:00:00","microbial-mat"
468,"dns","0000-00-00 00:00:00","microbial-mat"
469,"localization","0000-00-00 00:00:00","upholstery"
470,"phpmyadmin","0000-00-00 00:00:00","seigaiha"
471,"sharepoint-2010","0000-00-00 00:00:00","tablecloth"
472,"parallel-processing","0000-00-00 00:00:00","microbial-mat"
473,"makefile","0000-00-00 00:00:00","tablecloth"
474,"get","0000-00-00 00:00:00","tablecloth"
475,"websocket","0000-00-00 00:00:00","polka-dots"
476,".net-4.0","0000-00-00 00:00:00","vertical-stripes"
477,"f#","0000-00-00 00:00:00","steps"
478,"tree","0000-00-00 00:00:00","madras"
479,"xamarin","0000-00-00 00:00:00","tartan"
480,"camera","0000-00-00 00:00:00","tablecloth"
481,"crystal-reports","0000-00-00 00:00:00","tablecloth"
482,"ms-word","0000-00-00 00:00:00","arrows"
483,"linux-kernel","0000-00-00 00:00:00","waves"
484,"neo4j","0000-00-00 00:00:00","bricks"
485,"dojo","0000-00-00 00:00:00","weave"
486,"datepicker","0000-00-00 00:00:00","steps"
487,"pagination","0000-00-00 00:00:00","brady-bunch"
488,"user-controls","0000-00-00 00:00:00","waves"
489,"drupal-7","0000-00-00 00:00:00","cicada-stripes"
490,"ffmpeg","0000-00-00 00:00:00","argyle"
491,"mongoose","0000-00-00 00:00:00","upholstery"
492,"drag-and-drop","0000-00-00 00:00:00","arrows"
493,"android-ndk","0000-00-00 00:00:00","microbial-mat"
494,"linked-list","0000-00-00 00:00:00","horizontal-stripes"
495,"coffeescript","0000-00-00 00:00:00","argyle"
496,"installation","0000-00-00 00:00:00","tartan"
497,"vb6","0000-00-00 00:00:00","japanese-cube"
498,"mapreduce","0000-00-00 00:00:00","arrows"
499,"macros","0000-00-00 00:00:00","stars"
500,"frameworks","0000-00-00 00:00:00","arrows"
501,"header","0000-00-00 00:00:00","zigzag"
502,"msbuild","0000-00-00 00:00:00","brady-bunch"
503,"routing","0000-00-00 00:00:00","upholstery"
504,"lucene","0000-00-00 00:00:00","arrows"
505,"uinavigationcontroller","0000-00-00 00:00:00","blueprint"
506,"linker","0000-00-00 00:00:00","steps"
507,"null","0000-00-00 00:00:00","tablecloth"
508,"sql-server-2012","0000-00-00 00:00:00","half-rombes"
509,"calendar","0000-00-00 00:00:00","steps"
510,"stream","0000-00-00 00:00:00","half-rombes"
511,"listbox","0000-00-00 00:00:00","waves"
512,"routes","0000-00-00 00:00:00","brady-bunch"
513,"dialog","0000-00-00 00:00:00","polka-dots"
514,"active-directory","0000-00-00 00:00:00","diagonal-stripes"
515,"onclick","0000-00-00 00:00:00","diagonal-stripes"
516,"notifications","0000-00-00 00:00:00","seigaiha"
517,"crash","0000-00-00 00:00:00","weave"
518,"group-by","0000-00-00 00:00:00","diagonal-stripes"
519,"outlook","0000-00-00 00:00:00","tartan"
520,"uiimageview","0000-00-00 00:00:00","stars"
521,"grep","0000-00-00 00:00:00","weave"
522,"entity-framework-4","0000-00-00 00:00:00","weave"
523,"navigation","0000-00-00 00:00:00","zigzag"
